
                                    CAFe'2002 
                    
                          24-25 august 2002 Kazan/Russia

                                official results
                                      v0.3

legend:

##.           place
    .###      collected points
         <##> shown

---[zx spectrum demo]------------------------------------------------[day 01]---

01. .369 <06> Inbetween                        Placebo
02. .264 <05> Summermilk                       Skrju
03. .244 <02> demo21                           Eye-Q
    .244 <04> Black And White                  Master Home Computers Group
04. .211 <01> Traffic Of Death                 RGI/POS WT
05. .193 <03> z80 cheap                        X-Team & HOAX

---[zx spectrum ay music]--------------------------------------------[day 01]---

01. .247 <07> ElectroGodzilla & Pink Socks     Siril^4th Dimension
02. .244 <05> The Awakening...                 Key-Jee^Triebkraft
03. .234 <19> SHot                             Spirit^Virtual Masters
04. .232 <11> Kwarc                            Ahim^CPU
05. .222 <08> Water & Fire-BE4HOE...           Artur^Tiraspol Art Group
06. .219 <14> Old TV Tune (total remake)       Megus^Brainwave
07. .212 <03> Remote Cliff                     Cj.Echo^Triumph
08. .210 <13> Little story.Special for Diver.  Andrew FER^Phantom Family
09. .204 <10> Fuck 0ff mY fAN$!                Fatal Snipe^Fenomen
10. .202 <09> Black blues                      GiBSON^NotSoft
    .202 <20> !ndeference                      Mm<M^Sage
11. .200 <04> Shallow Hangar                   Julia^Triumph
12. .198 <06> slide.dreams.(abc)               SLider
13. .184 <15> My mind free                     cj_Flexo^Green Bit Group
14. .180 <18> Long way to home...              ice'n'green^EYe-Q
15. .166 <01> hidden threat in squeak          Nik-O^Techno Lab
16. .163 <17> Primality                        Gasman^Hooy-Program
17. .162 <02> Dead Creeps in She's Asshole     Crash^Exult Crew
18. .149 <16> the matrix has you               risk^OCA
19. .141 <12> Jews Are Supreme Race, Forever!  Moran^CPU
          out noxMe^be                         Scald (Andrey Frolov)
          out Improvisation #15                Ivan Roshin
          out Enveloped dreams                 Keyser Soze^CoM
          out Sad2                             KYV^Triumph
          out Depression continues...          D.J.KOT
          out Gorod BG RMX                     Steep^X-Team
          out PE3IHOBbIE Zyabliki              Flabber^Virtual Masters
          out back                             Phantom Lord^Psycho+CM
