1 Twisters Dance Machine  Andrew Fer 154 
2 For Majam-The Music Sketch  Andrew Fer 141 
3 Sad Tune  Yerzmyey 126 
4 Memories  Mast 121 
5 Nothing  Zhenya 116 
6 Peace  TDM 107 
7 Startrash  TDM 100 
8 Driver  Kriss 97 
9 Eliminator  X-agon 96 
10 Flowers In The Sky  Siril 92 
11 I'm The Power Maker  Ravager 91 
12 Seeing  Mmcm 89 
13 Satellite One  Black Lord 86 
14 Utopia  Cat-Man 76 
15 Sweet Seduction  Factor 6 76 
16 Kettarys  Siril 76 
17 Back To The Live  Black Groove 74 
18 Broken Joystick  Arcadiy Gobusov 57 
19 Conceptions  Sector 57 
20 Wanna To Enlight 97  Black Lord 56 
21 Dances On Needle  McMaker 50 
22 Draw  Kriss 40 
23 Shock  Phantom Lord 2 
